dt_referencia;no_produto;no_indicador;vr_real
"2010-03-09";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-09";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-10";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-10";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.69
"2010-03-10";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-10";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";65.3
"2010-03-10";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";61.48
"2010-03-10";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.12
"2010-03-10";"soja";"Soja industrial tipo 1 sc 60 Kg";31.68
"2010-03-10";"trigo";"Trigo pão PH 78 sc 60 Kg";23.88
"2010-03-10";"boi";"Boi em pé arroba";73.94
"2010-03-10";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-10";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-10";"suíno";"Suíno em pé tipo carne não integrado kg";2.01
"2010-03-10";"vaca";"Vaca em pé (padrão corte) arroba";67.41
"2010-03-10";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-10";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-11";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-11";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.69
"2010-03-11";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-11";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";68.22
"2010-03-11";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";62.4
"2010-03-11";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.11
"2010-03-11";"soja";"Soja industrial tipo 1 sc 60 Kg";31.66
"2010-03-11";"trigo";"Trigo pão PH 78 sc 60 Kg";23.64
"2010-03-11";"boi";"Boi em pé arroba";73.98
"2010-03-11";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-11";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-11";"suíno";"Suíno em pé tipo carne não integrado kg";2.01
"2010-03-11";"vaca";"Vaca em pé (padrão corte) arroba";67.63
"2010-03-11";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-11";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-12";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-12";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.45
"2010-03-12";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-12";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";68.22
"2010-03-12";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";62.39
"2010-03-12";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.14
"2010-03-12";"soja";"Soja industrial tipo 1 sc 60 Kg";31.4
"2010-03-12";"trigo";"Trigo pão PH 78 sc 60 Kg";23.64
"2010-03-12";"boi";"Boi em pé arroba";73.96
"2010-03-12";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-12";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-12";"suíno";"Suíno em pé tipo carne não integrado kg";2.01
"2010-03-12";"vaca";"Vaca em pé (padrão corte) arroba";67.58
"2010-03-12";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-12";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-15";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-15";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.69
"2010-03-15";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-15";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";68.73
"2010-03-15";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";63.67
"2010-03-15";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.08
"2010-03-15";"soja";"Soja industrial tipo 1 sc 60 Kg";31.05
"2010-03-15";"trigo";"Trigo pão PH 78 sc 60 Kg";23.64
"2010-03-15";"boi";"Boi em pé arroba";74.0
"2010-03-15";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-15";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-15";"suíno";"Suíno em pé tipo carne não integrado kg";2.05
"2010-03-15";"vaca";"Vaca em pé (padrão corte) arroba";67.75
"2010-03-15";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-15";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-16";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-16";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.75
"2010-03-16";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-16";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";69.97
"2010-03-16";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";64.89
"2010-03-16";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.92
"2010-03-16";"soja";"Soja industrial tipo 1 sc 60 Kg";30.77
"2010-03-16";"trigo";"Trigo pão PH 78 sc 60 Kg";23.64
"2010-03-16";"boi";"Boi em pé arroba";74.04
"2010-03-16";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-16";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-16";"suíno";"Suíno em pé tipo carne não integrado kg";2.06
"2010-03-16";"vaca";"Vaca em pé (padrão corte) arroba";67.7
"2010-03-16";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.35
"2010-03-16";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-17";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-17";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.57
"2010-03-17";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-17";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";71.06
"2010-03-17";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";64.76
"2010-03-17";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.9
"2010-03-17";"soja";"Soja industrial tipo 1 sc 60 Kg";30.63
"2010-03-17";"trigo";"Trigo pão PH 78 sc 60 Kg";23.88
"2010-03-17";"boi";"Boi em pé arroba";73.96
"2010-03-17";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-17";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-17";"suíno";"Suíno em pé tipo carne não integrado kg";2.06
"2010-03-17";"vaca";"Vaca em pé (padrão corte) arroba";67.56
"2010-03-17";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";221.29
"2010-03-17";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-18";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-18";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.57
"2010-03-18";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";39.53
"2010-03-18";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";71.06
"2010-03-18";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.12
"2010-03-18";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.9
"2010-03-18";"soja";"Soja industrial tipo 1 sc 60 Kg";30.61
"2010-03-18";"trigo";"Trigo pão PH 78 sc 60 Kg";23.88
"2010-03-18";"boi";"Boi em pé arroba";74.01
"2010-03-18";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-18";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-18";"suíno";"Suíno em pé tipo carne não integrado kg";2.05
"2010-03-18";"vaca";"Vaca em pé (padrão corte) arroba";67.54
"2010-03-18";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";221.29
"2010-03-18";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-19";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-19";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.65
"2010-03-19";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";39.53
"2010-03-19";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";70.15
"2010-03-19";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.74
"2010-03-19";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.96
"2010-03-19";"soja";"Soja industrial tipo 1 sc 60 Kg";31.12
"2010-03-19";"trigo";"Trigo pão PH 78 sc 60 Kg";23.88
"2010-03-19";"boi";"Boi em pé arroba";74.01
"2010-03-19";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-19";"erva-mate";"Erva-mate folha em barranco arroba";5.96
"2010-03-19";"suíno";"Suíno em pé tipo carne não integrado kg";2.05
"2010-03-19";"vaca";"Vaca em pé (padrão corte) arroba";67.47
"2010-03-19";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";221.29
"2010-03-19";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-22";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-22";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.57
"2010-03-22";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-22";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";73.63
"2010-03-22";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.82
"2010-03-22";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.88
"2010-03-22";"soja";"Soja industrial tipo 1 sc 60 Kg";31.2
"2010-03-22";"trigo";"Trigo pão PH 78 sc 60 Kg";23.81
"2010-03-22";"boi";"Boi em pé arroba";74.24
"2010-03-22";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-22";"erva-mate";"Erva-mate folha em barranco arroba";5.98
"2010-03-22";"suíno";"Suíno em pé tipo carne não integrado kg";2.01
"2010-03-22";"vaca";"Vaca em pé (padrão corte) arroba";67.63
"2010-03-22";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.82
"2010-03-22";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-23";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-23";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.57
"2010-03-23";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-23";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";74.12
"2010-03-23";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.94
"2010-03-23";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.92
"2010-03-23";"soja";"Soja industrial tipo 1 sc 60 Kg";31.32
"2010-03-23";"trigo";"Trigo pão PH 78 sc 60 Kg";23.78
"2010-03-23";"boi";"Boi em pé arroba";74.25
"2010-03-23";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.55
"2010-03-23";"erva-mate";"Erva-mate folha em barranco arroba";5.98
"2010-03-23";"suíno";"Suíno em pé tipo carne não integrado kg";2.01
"2010-03-23";"vaca";"Vaca em pé (padrão corte) arroba";67.56
"2010-03-23";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.82
"2010-03-23";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-24";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-24";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-03-24";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-24";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";73.54
"2010-03-24";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.65
"2010-03-24";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.9
"2010-03-24";"soja";"Soja industrial tipo 1 sc 60 Kg";31.1
"2010-03-24";"trigo";"Trigo pão PH 78 sc 60 Kg";23.78
"2010-03-24";"boi";"Boi em pé arroba";74.27
"2010-03-24";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.53
"2010-03-24";"erva-mate";"Erva-mate folha em barranco arroba";5.98
"2010-03-24";"suíno";"Suíno em pé tipo carne não integrado kg";2.07
"2010-03-24";"vaca";"Vaca em pé (padrão corte) arroba";67.45
"2010-03-24";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";221.1
"2010-03-24";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-25";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-25";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-03-25";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-25";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";76.14
"2010-03-25";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.96
"2010-03-25";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.88
"2010-03-25";"soja";"Soja industrial tipo 1 sc 60 Kg";31.32
"2010-03-25";"trigo";"Trigo pão PH 78 sc 60 Kg";23.78
"2010-03-25";"boi";"Boi em pé arroba";74.31
"2010-03-25";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-03-25";"erva-mate";"Erva-mate folha em barranco arroba";5.98
"2010-03-25";"suíno";"Suíno em pé tipo carne não integrado kg";2.0
"2010-03-25";"vaca";"Vaca em pé (padrão corte) arroba";67.48
"2010-03-25";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.76
"2010-03-25";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-26";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-03-26";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-03-26";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-26";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";76.53
"2010-03-26";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.39
"2010-03-26";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.9
"2010-03-26";"soja";"Soja industrial tipo 1 sc 60 Kg";31.2
"2010-03-26";"trigo";"Trigo pão PH 78 sc 60 Kg";23.78
"2010-03-26";"boi";"Boi em pé arroba";74.18
"2010-03-26";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.53
"2010-03-26";"erva-mate";"Erva-mate folha em barranco arroba";5.98
"2010-03-26";"suíno";"Suíno em pé tipo carne não integrado kg";2.08
"2010-03-26";"vaca";"Vaca em pé (padrão corte) arroba";67.46
"2010-03-26";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";218.84
"2010-03-26";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-29";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-03-29";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";33.34
"2010-03-29";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.39
"2010-03-29";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";79.17
"2010-03-29";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.51
"2010-03-29";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.08
"2010-03-29";"soja";"Soja industrial tipo 1 sc 60 Kg";31.64
"2010-03-29";"trigo";"Trigo pão PH 78 sc 60 Kg";23.62
"2010-03-29";"boi";"Boi em pé arroba";74.37
"2010-03-29";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.52
"2010-03-29";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-03-29";"suíno";"Suíno em pé tipo carne não integrado kg";2.13
"2010-03-29";"vaca";"Vaca em pé (padrão corte) arroba";67.89
"2010-03-29";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";218.84
"2010-03-29";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-30";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-03-30";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-03-30";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-03-30";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";84.75
"2010-03-30";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";70.14
"2010-03-30";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.12
"2010-03-30";"soja";"Soja industrial tipo 1 sc 60 Kg";31.7
"2010-03-30";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-03-30";"boi";"Boi em pé arroba";74.33
"2010-03-30";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.52
"2010-03-30";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-03-30";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-03-30";"vaca";"Vaca em pé (padrão corte) arroba";67.59
"2010-03-30";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";219.13
"2010-03-30";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-03-31";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-03-31";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-03-31";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-03-31";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";84.27
"2010-03-31";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";70.59
"2010-03-31";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.07
"2010-03-31";"soja";"Soja industrial tipo 1 sc 60 Kg";31.88
"2010-03-31";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-03-31";"boi";"Boi em pé arroba";74.37
"2010-03-31";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.53
"2010-03-31";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-03-31";"suíno";"Suíno em pé tipo carne não integrado kg";2.13
"2010-03-31";"vaca";"Vaca em pé (padrão corte) arroba";67.58
"2010-03-31";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";219.07
"2010-03-31";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-01";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-01";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-04-01";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-01";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.33
"2010-04-01";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";70.36
"2010-04-01";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.07
"2010-04-01";"soja";"Soja industrial tipo 1 sc 60 Kg";31.19
"2010-04-01";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-01";"boi";"Boi em pé arroba";74.44
"2010-04-01";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.53
"2010-04-01";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-04-01";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-01";"vaca";"Vaca em pé (padrão corte) arroba";67.75
"2010-04-01";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.76
"2010-04-01";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-02";"algodão";"Pesquisa descontinuada (Algodão)";""
"2010-04-02";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";""
"2010-04-02";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";""
"2010-04-02";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";""
"2010-04-02";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";""
"2010-04-02";"milho";"Milho amarelo tipo 1 sc 60 Kg";""
"2010-04-02";"soja";"Soja industrial tipo 1 sc 60 Kg";""
"2010-04-02";"trigo";"Trigo pão PH 78 sc 60 Kg";""
"2010-04-02";"boi";"Boi em pé arroba";""
"2010-04-02";"frango vivo";"Pesquisa descontinuada (Frango vivo)";""
"2010-04-02";"erva-mate";"Erva-mate folha em barranco arroba";""
"2010-04-02";"suíno";"Suíno em pé tipo carne não integrado kg";""
"2010-04-02";"vaca";"Vaca em pé (padrão corte) arroba";""
"2010-04-02";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";""
"2010-04-02";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-05";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-04-05";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.65
"2010-04-05";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-05";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";87.86
"2010-04-05";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";71.12
"2010-04-05";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.08
"2010-04-05";"soja";"Soja industrial tipo 1 sc 60 Kg";30.86
"2010-04-05";"trigo";"Trigo pão PH 78 sc 60 Kg";23.64
"2010-04-05";"boi";"Boi em pé arroba";74.65
"2010-04-05";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.52
"2010-04-05";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-04-05";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-05";"vaca";"Vaca em pé (padrão corte) arroba";67.92
"2010-04-05";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";222.51
"2010-04-05";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-06";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-04-06";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";35.02
"2010-04-06";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-06";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";89.64
"2010-04-06";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";71.16
"2010-04-06";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.11
"2010-04-06";"soja";"Soja industrial tipo 1 sc 60 Kg";30.46
"2010-04-06";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-06";"boi";"Boi em pé arroba";75.0
"2010-04-06";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.52
"2010-04-06";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-04-06";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-06";"vaca";"Vaca em pé (padrão corte) arroba";68.53
"2010-04-06";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-06";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-07";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-07";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.9
"2010-04-07";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-07";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";90.15
"2010-04-07";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";71.42
"2010-04-07";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.08
"2010-04-07";"soja";"Soja industrial tipo 1 sc 60 Kg";30.43
"2010-04-07";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-07";"boi";"Boi em pé arroba";75.75
"2010-04-07";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.52
"2010-04-07";"erva-mate";"Erva-mate folha em barranco arroba";6.0
"2010-04-07";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-07";"vaca";"Vaca em pé (padrão corte) arroba";69.28
"2010-04-07";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-07";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-08";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-08";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.9
"2010-04-08";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-08";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";93.75
"2010-04-08";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";75.18
"2010-04-08";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.13
"2010-04-08";"soja";"Soja industrial tipo 1 sc 60 Kg";30.39
"2010-04-08";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-08";"boi";"Boi em pé arroba";75.9
"2010-04-08";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.5
"2010-04-08";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-08";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-08";"vaca";"Vaca em pé (padrão corte) arroba";69.87
"2010-04-08";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-08";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-09";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-09";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.9
"2010-04-09";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-09";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";93.75
"2010-04-09";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";75.18
"2010-04-09";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.12
"2010-04-09";"soja";"Soja industrial tipo 1 sc 60 Kg";30.44
"2010-04-09";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-09";"boi";"Boi em pé arroba";76.22
"2010-04-09";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.5
"2010-04-09";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-09";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-09";"vaca";"Vaca em pé (padrão corte) arroba";70.17
"2010-04-09";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-09";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-12";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-12";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.9
"2010-04-12";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-12";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";93.75
