dt_referencia;no_produto;no_indicador;vr_real
"2010-01-11";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.06
"2010-01-11";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.07
"2010-01-11";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.77
"2010-01-11";"soja";"Soja industrial tipo 1 sc 60 Kg";39.34
"2010-01-11";"trigo";"Trigo pão PH 78 sc 60 Kg";24.03
"2010-01-11";"boi";"Boi em pé arroba";72.96
"2010-01-11";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-11";"erva-mate";"Erva-mate folha em barranco arroba";6.17
"2010-01-11";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-11";"vaca";"Vaca em pé (padrão corte) arroba";67.12
"2010-01-11";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.68
"2010-01-11";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-12";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-12";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.49
"2010-01-12";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-12";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.2
"2010-01-12";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.87
"2010-01-12";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.89
"2010-01-12";"soja";"Soja industrial tipo 1 sc 60 Kg";39.03
"2010-01-12";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-12";"boi";"Boi em pé arroba";73.22
"2010-01-12";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-12";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-12";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-12";"vaca";"Vaca em pé (padrão corte) arroba";67.26
"2010-01-12";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.35
"2010-01-12";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-13";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-13";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.49
"2010-01-13";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-13";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.25
"2010-01-13";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.87
"2010-01-13";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.84
"2010-01-13";"soja";"Soja industrial tipo 1 sc 60 Kg";38.07
"2010-01-13";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-13";"boi";"Boi em pé arroba";72.67
"2010-01-13";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-13";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-13";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-13";"vaca";"Vaca em pé (padrão corte) arroba";66.96
"2010-01-13";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.78
"2010-01-13";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-14";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-14";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.25
"2010-01-14";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-14";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.99
"2010-01-14";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.27
"2010-01-14";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.81
"2010-01-14";"soja";"Soja industrial tipo 1 sc 60 Kg";37.65
"2010-01-14";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-14";"boi";"Boi em pé arroba";72.38
"2010-01-14";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-14";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-14";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-14";"vaca";"Vaca em pé (padrão corte) arroba";66.91
"2010-01-14";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.2
"2010-01-14";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-15";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-15";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-15";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-15";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.59
"2010-01-15";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.27
"2010-01-15";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.86
"2010-01-15";"soja";"Soja industrial tipo 1 sc 60 Kg";37.13
"2010-01-15";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-15";"boi";"Boi em pé arroba";72.53
"2010-01-15";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-15";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-15";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-15";"vaca";"Vaca em pé (padrão corte) arroba";66.91
"2010-01-15";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.34
"2010-01-15";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-18";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-18";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-18";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-18";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.59
"2010-01-18";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.49
"2010-01-18";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.82
"2010-01-18";"soja";"Soja industrial tipo 1 sc 60 Kg";37.0
"2010-01-18";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-18";"boi";"Boi em pé arroba";72.58
"2010-01-18";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-18";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-18";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-18";"vaca";"Vaca em pé (padrão corte) arroba";66.82
"2010-01-18";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.2
"2010-01-18";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-19";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-19";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-19";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-19";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.38
"2010-01-19";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.42
"2010-01-19";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.8
"2010-01-19";"soja";"Soja industrial tipo 1 sc 60 Kg";36.89
"2010-01-19";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-19";"boi";"Boi em pé arroba";72.43
"2010-01-19";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-19";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-19";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-19";"vaca";"Vaca em pé (padrão corte) arroba";66.49
"2010-01-19";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.57
"2010-01-19";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
